Timestamp,Temperature (°C),Humidity (%)
2024-08-10 00:55:48,24.6,71.15
2024-08-10 00:57:48,24.64,71.22
2024-08-10 00:59:48,24.7,72.05
2024-08-10 01:01:49,24.7,72.3
2024-08-10 01:03:49,24.7,72.32
2024-08-10 01:05:50,24.7,72.43
2024-08-10 01:07:50,24.7,72.57
2024-08-10 01:09:50,24.64,72.63
2024-08-10 01:11:51,24.6,72.71
2024-08-10 01:13:51,24.6,72.7
2024-08-10 01:15:51,24.6,72.8
2024-08-10 01:17:52,24.6,72.83
2024-08-10 01:19:52,24.6,72.8
2024-08-10 01:21:53,24.6,72.8
2024-08-10 01:23:53,24.6,72.86
2024-08-10 01:25:53,24.54,72.87
2024-08-10 01:27:54,24.5,72.95
2024-08-10 01:29:54,24.5,73.0
2024-08-10 01:31:56,24.5,72.89
2024-08-10 01:33:56,24.5,72.91
2024-08-10 01:35:56,24.5,72.9
2024-08-10 01:37:57,24.5,72.9
2024-08-10 01:39:57,24.5,72.9
2024-08-10 01:41:58,24.5,72.93
2024-08-10 01:43:58,24.46,72.99
2024-08-10 01:45:58,24.4,72.9
2024-08-10 01:47:59,24.4,72.94
2024-08-10 01:49:59,24.4,72.86
2024-08-10 01:51:59,24.4,72.85
2024-08-10 01:54:00,24.4,72.8
2024-08-10 08:57:24,26.4,53.4
2024-08-10 08:59:25,26.4,53.28
2024-08-10 09:01:25,26.4,53.08
2024-08-10 09:03:25,26.4,53.04
2024-08-10 09:05:26,26.4,52.94
2024-08-10 09:07:26,26.4,52.9
2024-08-10 09:09:27,26.4,52.79
2024-08-10 09:11:27,26.4,52.72
2024-08-10 09:13:27,26.4,52.5
2024-08-10 09:15:28,26.4,52.45
2024-08-10 09:17:28,26.4,52.4
2024-08-10 09:19:28,26.4,52.35
2024-08-10 09:21:29,26.4,52.45
2024-08-10 09:23:29,26.4,52.5
2024-08-10 09:25:29,26.46,52.96
2024-08-10 09:27:30,26.5,53.45
2024-08-10 09:29:30,26.6,53.6
2024-08-10 09:31:31,26.6,53.6
2024-08-10 09:33:31,26.6,53.66
2024-08-10 09:35:31,26.6,53.7
2024-08-10 09:37:32,26.6,53.66
2024-08-10 09:39:32,26.6,53.65
2024-08-10 09:41:32,26.6,53.75
2024-08-10 09:43:33,26.6,53.8
2024-08-10 09:45:33,26.63,53.78
2024-08-10 09:47:33,26.6,53.7
2024-08-10 09:49:34,26.6,53.65
2024-08-10 09:51:34,26.6,53.7
2024-08-10 09:53:35,26.6,53.8
2024-08-10 09:55:35,26.6,53.82
2024-08-10 01:56:00,24.4,72.87
2024-08-10 01:58:01,24.4,72.8
